kind,cutoff,class,support,predicted,true_positive,precision,recall,coverage_all,none_fp_count,none_fp,total_coverage_all,total_correct_positive_recall,total_none_fp
per_class,0.6,completes,70,77,69,0.8961038961038961,0.9857142857142858,0.13368055555555555,8,0.03088803088803089,0.625,0.9558359621451105,0.21235521235521235
per_class,0.6,reinstates,69,73,68,0.9315068493150684,0.9855072463768116,0.1267361111111111,5,0.019305019305019305,0.625,0.9558359621451105,0.21235521235521235
per_class,0.61,supersedes,106,127,95,0.7480314960629921,0.8962264150943396,0.2204861111111111,32,0.12355212355212356,0.625,0.9558359621451105,0.21235521235521235
per_class,0.61,cancels,72,83,71,0.8554216867469879,0.9861111111111112,0.1440972222222222,10,0.03861003861003861,0.625,0.9558359621451105,0.21235521235521235
per_class,0.61,completes,70,77,69,0.8961038961038961,0.9857142857142858,0.13368055555555555,8,0.03088803088803089,0.625,0.9558359621451105,0.21235521235521235
per_class,0.61,reinstates,69,73,68,0.9315068493150684,0.9855072463768116,0.1267361111111111,5,0.019305019305019305,0.625,0.9558359621451105,0.21235521235521235
per_class,0.62,supersedes,106,127,95,0.7480314960629921,0.8962264150943396,0.2204861111111111,32,0.12355212355212356,0.6232638888888888,0.9558359621451105,0.2084942084942085
per_class,0.62,cancels,72,83,71,0.8554216867469879,0.9861111111111112,0.1440972222222222,10,0.03861003861003861,0.6232638888888888,0.9558359621451105,0.2084942084942085
per_class,0.62,completes,70,76,69,0.9078947368421053,0.9857142857142858,0.13194444444444445,7,0.02702702702702703,0.6232638888888888,0.9558359621451105,0.2084942084942085
per_class,0.62,reinstates,69,73,68,0.9315068493150684,0.9855072463768116,0.1267361111111111,5,0.019305019305019305,0.6232638888888888,0.9558359621451105,0.2084942084942085
per_class,0.63,supersedes,106,125,93,0.744,0.8773584905660378,0.2170138888888889,32,0.12355212355212356,0.6197916666666666,0.9495268138801262,0.2084942084942085
per_class,0.63,cancels,72,83,71,0.8554216867469879,0.9861111111111112,0.1440972222222222,10,0.03861003861003861,0.6197916666666666,0.9495268138801262,0.2084942084942085
