kind,cutoff,class,support,predicted,true_positive,precision,recall,coverage_all,none_fp_count,none_fp,total_coverage_all,total_correct_positive_recall,total_none_fp
per_class,0.54,supersedes,106,133,100,0.7518796992481203,0.9433962264150944,0.2309027777777778,31,0.11969111969111969,0.59375,0.9589905362776026,0.138996138996139
per_class,0.54,cancels,72,70,69,0.9857142857142858,0.9583333333333334,0.12152777777777778,1,0.003861003861003861,0.59375,0.9589905362776026,0.138996138996139
per_class,0.54,completes,70,71,68,0.9577464788732394,0.9714285714285714,0.1232638888888889,3,0.011583011583011582,0.59375,0.9589905362776026,0.138996138996139
per_class,0.54,reinstates,69,68,67,0.9852941176470589,0.9710144927536232,0.11805555555555555,1,0.003861003861003861,0.59375,0.9589905362776026,0.138996138996139
per_class,0.55,supersedes,106,133,100,0.7518796992481203,0.9433962264150944,0.2309027777777778,31,0.11969111969111969,0.59375,0.9589905362776026,0.138996138996139
per_class,0.55,cancels,72,70,69,0.9857142857142858,0.9583333333333334,0.12152777777777778,1,0.003861003861003861,0.59375,0.9589905362776026,0.138996138996139
per_class,0.55,completes,70,71,68,0.9577464788732394,0.9714285714285714,0.1232638888888889,3,0.011583011583011582,0.59375,0.9589905362776026,0.138996138996139
per_class,0.55,reinstates,69,68,67,0.9852941176470589,0.9710144927536232,0.11805555555555555,1,0.003861003861003861,0.59375,0.9589905362776026,0.138996138996139
per_class,0.56,supersedes,106,132,100,0.7575757575757576,0.9433962264150944,0.22916666666666666,30,0.11583011583011583,0.5920138888888888,0.9589905362776026,0.13513513513513514
per_class,0.56,cancels,72,70,69,0.9857142857142858,0.9583333333333334,0.12152777777777778,1,0.003861003861003861,0.5920138888888888,0.9589905362776026,0.13513513513513514
per_class,0.56,completes,70,71,68,0.9577464788732394,0.9714285714285714,0.1232638888888889,3,0.011583011583011582,0.5920138888888888,0.9589905362776026,0.13513513513513514
per_class,0.56,reinstates,69,68,67,0.9852941176470589,0.9710144927536232,0.11805555555555555,1,0.003861003861003861,0.5920138888888888,0.9589905362776026,0.13513513513513514
per_class,0.57,supersedes,106,132,100,0.7575757575757576,0.9433962264150944,0.22916666666666666,30,0.11583011583011583,0.5920138888888888,0.9589905362776026,0.13513513513513514
per_class,0.57,cancels,72,70,69,0.9857142857142858,0.9583333333333334,0.12152777777777778,1,0.003861003861003861,0.5920138888888888,0.9589905362776026,0.13513513513513514
per_class,0.57,completes,70,71,68,0.9577464788732394,0.9714285714285714,0.1232638888888889,3,0.011583011583011582,0.5920138888888888,0.9589905362776026,0.13513513513513514
per_class,0.57,reinstates,69,68,67,0.9852941176470589,0.9710144927536232,0.11805555555555555,1,0.003861003861003861,0.5920138888888888,0.9589905362776026,0.13513513513513514
per_class,0.58,supersedes,106,132,100,0.7575757575757576,0.9433962264150944,0.22916666666666666,30,0.11583011583011583,0.5920138888888888,0.9589905362776026,0.13513513513513514
per_class,0.58,cancels,72,70,69,0.9857142857142858,0.9583333333333334,0.12152777777777778,1,0.003861003861003861,0.5920138888888888,0.9589905362776026,0.13513513513513514
per_class,0.58,completes,70,71,68,0.9577464788732394,0.9714285714285714,0.1232638888888889,3,0.011583011583011582,0.5920138888888888,0.9589905362776026,0.13513513513513514
per_class,0.58,reinstates,69,68,67,0.9852941176470589,0.9710144927536232,0.11805555555555555,1,0.003861003861003861,0.5920138888888888,0.9589905362776026,0.13513513513513514
per_class,0.59,supersedes,106,132,100,0.7575757575757576,0.9433962264150944,0.22916666666666666,30,0.11583011583011583,0.5920138888888888,0.9589905362776026,0.13513513513513514
per_class,0.59,cancels,72,70,69,0.9857142857142858,0.9583333333333334,0.12152777777777778,1,0.003861003861003861,0.5920138888888888,0.9589905362776026,0.13513513513513514
per_class,0.59,completes,70,71,68,0.9577464788732394,0.9714285714285714,0.1232638888888889,3,0.011583011583011582,0.5920138888888888,0.9589905362776026,0.13513513513513514
per_class,0.59,reinstates,69,68,67,0.9852941176470589,0.9710144927536232,0.11805555555555555,1,0.003861003861003861,0.5920138888888888,0.9589905362776026,0.13513513513513514
per_class,0.6,supersedes,106,130,99,0.7615384615384615,0.9339622641509434,0.22569444444444445,29,0.11196911196911197,0.5885416666666666,0.9558359621451105,0.13127413127413126
per_class,0.6,cancels,72,70,69,0.9857142857142858,0.9583333333333334,0.12152777777777778,1,0.003861003861003861,0.5885416666666666,0.9558359621451105,0.13127413127413126
per_class,0.6,completes,70,71,68,0.9577464788732394,0.9714285714285714,0.1232638888888889,3,0.011583011583011582,0.5885416666666666,0.9558359621451105,0.13127413127413126
per_class,0.6,reinstates,69,68,67,0.9852941176470589,0.9710144927536232,0.11805555555555555,1,0.003861003861003861,0.5885416666666666,0.9558359621451105,0.13127413127413126
per_class,0.61,supersedes,106,130,99,0.7615384615384615,0.9339622641509434,0.22569444444444445,29,0.11196911196911197,0.5885416666666666,0.9558359621451105,0.13127413127413126
per_class,0.61,cancels,72,70,69,0.9857142857142858,0.9583333333333334,0.12152777777777778,1,0.003861003861003861,0.5885416666666666,0.9558359621451105,0.13127413127413126
per_class,0.61,completes,70,71,68,0.9577464788732394,0.9714285714285714,0.1232638888888889,3,0.011583011583011582,0.5885416666666666,0.9558359621451105,0.13127413127413126
per_class,0.61,reinstates,69,68,67,0.9852941176470589,0.9710144927536232,0.11805555555555555,1,0.003861003861003861,0.5885416666666666,0.9558359621451105,0.13127413127413126
per_class,0.62,supersedes,106,130,99,0.7615384615384615,0.9339622641509434,0.22569444444444445,29,0.11196911196911197,0.5885416666666666,0.9558359621451105,0.13127413127413126
per_class,0.62,cancels,72,70,69,0.9857142857142858,0.9583333333333334,0.12152777777777778,1,0.003861003861003861,0.5885416666666666,0.9558359621451105,0.13127413127413126
per_class,0.62,completes,70,71,68,0.9577464788732394,0.9714285714285714,0.1232638888888889,3,0.011583011583011582,0.5885416666666666,0.9558359621451105,0.13127413127413126
per_class,0.62,reinstates,69,68,67,0.9852941176470589,0.9710144927536232,0.11805555555555555,1,0.003861003861003861,0.5885416666666666,0.9558359621451105,0.13127413127413126
per_class,0.63,supersedes,106,130,99,0.7615384615384615,0.9339622641509434,0.22569444444444445,29,0.11196911196911197,0.5885416666666666,0.9558359621451105,0.13127413127413126
per_class,0.63,cancels,72,70,69,0.9857142857142858,0.9583333333333334,0.12152777777777778,1,0.003861003861003861,0.5885416666666666,0.9558359621451105,0.13127413127413126
per_class,0.63,completes,70,71,68,0.9577464788732394,0.9714285714285714,0.1232638888888889,3,0.011583011583011582,0.5885416666666666,0.9558359621451105,0.13127413127413126
per_class,0.63,reinstates,69,68,67,0.9852941176470589,0.9710144927536232,0.11805555555555555,1,0.003861003861003861,0.5885416666666666,0.9558359621451105,0.13127413127413126
per_class,0.64,supersedes,106,130,99,0.7615384615384615,0.9339622641509434,0.22569444444444445,29,0.11196911196911197,0.5885416666666666,0.9558359621451105,0.13127413127413126
per_class,0.64,cancels,72,70,69,0.9857142857142858,0.9583333333333334,0.12152777777777778,1,0.003861003861003861,0.5885416666666666,0.9558359621451105,0.13127413127413126
per_class,0.64,completes,70,71,68,0.9577464788732394,0.9714285714285714,0.1232638888888889,3,0.011583011583011582,0.5885416666666666,0.9558359621451105,0.13127413127413126
per_class,0.64,reinstates,69,68,67,0.9852941176470589,0.9710144927536232,0.11805555555555555,1,0.003861003861003861,0.5885416666666666,0.9558359621451105,0.13127413127413126
per_class,0.65,supersedes,106,130,99,0.7615384615384615,0.9339622641509434,0.22569444444444445,29,0.11196911196911197,0.5885416666666666,0.9558359621451105,0.13127413127413126
per_class,0.65,cancels,72,70,69,0.9857142857142858,0.9583333333333334,0.12152777777777778,1,0.003861003861003861,0.5885416666666666,0.9558359621451105,0.13127413127413126
per_class,0.65,completes,70,71,68,0.9577464788732394,0.9714285714285714,0.1232638888888889,3,0.011583011583011582,0.5885416666666666,0.9558359621451105,0.13127413127413126
per_class,0.65,reinstates,69,68,67,0.9852941176470589,0.9710144927536232,0.11805555555555555,1,0.003861003861003861,0.5885416666666666,0.9558359621451105,0.13127413127413126
per_class,0.66,supersedes,106,129,98,0.7596899224806202,0.9245283018867925,0.22395833333333334,29,0.11196911196911197,0.5868055555555556,0.9526813880126183,0.13127413127413126
per_class,0.66,cancels,72,70,69,0.9857142857142858,0.9583333333333334,0.12152777777777778,1,0.003861003861003861,0.5868055555555556,0.9526813880126183,0.13127413127413126
per_class,0.66,completes,70,71,68,0.9577464788732394,0.9714285714285714,0.1232638888888889,3,0.011583011583011582,0.5868055555555556,0.9526813880126183,0.13127413127413126
per_class,0.66,reinstates,69,68,67,0.9852941176470589,0.9710144927536232,0.11805555555555555,1,0.003861003861003861,0.5868055555555556,0.9526813880126183,0.13127413127413126
per_class,0.67,supersedes,106,129,98,0.7596899224806202,0.9245283018867925,0.22395833333333334,29,0.11196911196911197,0.5868055555555556,0.9526813880126183,0.13127413127413126
per_class,0.67,cancels,72,70,69,0.9857142857142858,0.9583333333333334,0.12152777777777778,1,0.003861003861003861,0.5868055555555556,0.9526813880126183,0.13127413127413126
per_class,0.67,completes,70,71,68,0.9577464788732394,0.9714285714285714,0.1232638888888889,3,0.011583011583011582,0.5868055555555556,0.9526813880126183,0.13127413127413126
per_class,0.67,reinstates,69,68,67,0.9852941176470589,0.9710144927536232,0.11805555555555555,1,0.003861003861003861,0.5868055555555556,0.9526813880126183,0.13127413127413126
per_class,0.68,supersedes,106,128,98,0.765625,0.9245283018867925,0.2222222222222222,28,0.10810810810810811,0.5850694444444444,0.9526813880126183,0.1274131274131274
per_class,0.68,cancels,72,70,69,0.9857142857142858,0.9583333333333334,0.12152777777777778,1,0.003861003861003861,0.5850694444444444,0.9526813880126183,0.1274131274131274
per_class,0.68,completes,70,71,68,0.9577464788732394,0.9714285714285714,0.1232638888888889,3,0.011583011583011582,0.5850694444444444,0.9526813880126183,0.1274131274131274
per_class,0.68,reinstates,69,68,67,0.9852941176470589,0.9710144927536232,0.11805555555555555,1,0.003861003861003861,0.5850694444444444,0.9526813880126183,0.1274131274131274
per_class,0.69,supersedes,106,127,97,0.7637795275590551,0.9150943396226415,0.2204861111111111,28,0.10810810810810811,0.5833333333333334,0.9495268138801262,0.1274131274131274
per_class,0.69,cancels,72,70,69,0.9857142857142858,0.9583333333333334,0.12152777777777778,1,0.003861003861003861,0.5833333333333334,0.9495268138801262,0.1274131274131274
per_class,0.69,completes,70,71,68,0.9577464788732394,0.9714285714285714,0.1232638888888889,3,0.011583011583011582,0.5833333333333334,0.9495268138801262,0.1274131274131274
per_class,0.69,reinstates,69,68,67,0.9852941176470589,0.9710144927536232,0.11805555555555555,1,0.003861003861003861,0.5833333333333334,0.9495268138801262,0.1274131274131274
